Typ gracza,Pieniądze na wstępie,Lekkomyślność,Rozrzutność,Minimalna oczekiwana ręka,Wynik_pieniężny_gra_1,Wynik_pieniężny_gra_2,Wynik_pieniężny_gra_3,Wynik_pieniężny_gra_4,Wynik_pieniężny_gra_5,Wynik_pieniężny_gra_6,Wynik_pieniężny_gra_7,Wynik_pieniężny_gra_8,Wynik_pieniężny_gra_9,Wynik_pieniężny_gra_10
AveragePlayer,500,0.9,0.5,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Straight,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Straight,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Straight,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Flush,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Flush,125,75,25,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Flush,1725,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Full house,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Full house,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Full house,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Four-of-a-Kind,149,99,49,49,49,24,24,24,24,0
AveragePlayer,500,0.9,0.5,Four-of-a-Kind,2200,2275,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Four-of-a-Kind,275,225,75,25,25,25,25,25,25,0
AveragePlayer,500,0.9,0.5,Straight flush,357,90,40,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Straight flush,125,75,25,25,25,0,0,0,0,0
AveragePlayer,500,0.9,0.5,Straight flush,125,75,50,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,High card,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,High card,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,High card,223,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,One pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,One pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,One pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Two pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Two pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Two pair,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Straight,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Straight,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Straight,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Flush,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Flush,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Flush,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Full house,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Full house,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Full house,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Four-of-a-Kind,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Four-of-a-Kind,24,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Four-of-a-Kind,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Straight flush,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Straight flush,50,25,25,25,25,0,0,0,0,0
AveragePlayer,500,0.9,0.9,Straight flush,50,0,0,0,0,0,0,0,0,0
AveragePlayer,2500,0.1,0.1,High card,1375,272,222,172,122,72,22,22,22,22
AveragePlayer,2500,0.1,0.1,High card,8550,12518,17593,17668,17716,17791,17841,17891,17966,18041
AveragePlayer,2500,0.1,0.1,High card,6920,7421,6308,696,646,596,546,496,446,396
AveragePlayer,2500,0.1,0.1,One pair,1129,1079,260,210,160,110,60,10,10,0
AveragePlayer,2500,0.1,0.1,One pair,6700,5695,4771,11003,12728,15369,15444,17885,17960,18035
AveragePlayer,2500,0.1,0.1,One pair,1249,250,200,150,100,50,0,0,0,0
AveragePlayer,2500,0.1,0.1,Two pair,1460,1410,376,326,276,226,176,126,76,26
AveragePlayer,2500,0.1,0.1,Two pair,975,925,875,825,775,725,655,605,555,505
